<GI> LR881183:1 <COORDINATES> 36810-60502 <STAT> n1_4mer:GRV/n1_4mer:RV = 2.689441; n0_4mer:D = 46.702740; n0_4mer:PS = 35.913327
	[36810:38276:rev] Dehydrogenase
	[486096:486512:dir] Evidence 3 : Putative function from multiple computational evidences; putative nickel-responsive regulator
	[486525:486935:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[486932:488884:rev] Fibronectin-binding protein A (FbpA)
	[489014:491002:dir] Evidence 3 : Putative function from multiple computational evidences; Product type e : enzyme; putative 1,4-alpha-glucan branching enzyme
<END>
<GI> LR881183:7 <COORDINATES> 822015-843099 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.682449; n0_4mer:D = 34.246456; n0_4mer:PS = 38.129753
	[822015:823940:dir] argS; Arginine--tRNA ligase
	[823941:825014:rev] AAA family ATPase
	[825110:825991:dir] dapAL; Uncharacterized DapA-like lyase TON_0506
	[826047:826265:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[826262:826534:dir] relE; Evidence 3 : Putative function from multiple computational evidences; putative toxin RelE1
	[826536:827783:rev] prf; Peptide chain release factor subunit 1
	[827885:828121:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[828214:828774:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[828811:829551:rev] Glycosyl transferase family 2 (fragment)
	[829511:830281:rev] Methyltransferase type 11
	[830379:832025:dir] Evidence 5 : Unknown function; membrane protein of unknown function
	[832110:834347:dir] Membrane-bound dolichyl-phosphate-mannose-protein mannosyltransferase
	[834579:834752:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[834870:835442:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[835432:836706:rev] Metalloprotease
	[836747:837148:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[837158:838318:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[838463:838912:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[838925:839632:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[839723:839800:dir] tRNA-Met
	[839916:840008:rev] Evidence 5 : Unknown function; protein of unknown function
	[840030:840941:dir] Intein/rRNA intron-related DNA endonuclease
	[840910:841365:dir] rps; 30S ribosomal protein S15
	[841405:842835:dir] SsDNA-specific exonuclease
	[842825:843085:dir] KEOPS complex subunit
<END>
<GI> LR881183:8 <COORDINATES> 1251851-1289468 <STAT> n1_4mer:GRV/n1_4mer:RV = 2.360605; n0_4mer:D = 43.008606; n0_4mer:PS = 28.167255
	[1251851:1253206:rev] purB; Adenylosuccinate lyase
	[1253399:1253674:dir] albA; DNA/RNA-binding protein Alba
	[1253784:1254449:dir] Transcription regulator
	[1254500:1255033:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1255023:1255565:rev] Nucleoside-triphosphatase THEP1
	[1255615:1256694:dir] Evidence 3 : Putative function from multiple computational evidences; putative methylthioribose-1-phosphate isomerase
	[1256806:1257690:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1257763:1259397:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1259668:1259832:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1259858:1260145:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1260262:1261395:dir] adh; NADPH-dependent butanol dehydrogenase
	[1261518:1263971:dir] Evidence 3 : Putative function from multiple computational evidences; putative 5-methylcytosine restriction system, GTPase subunit
	[1264009:1265415:dir] Evidence 3 : Putative function from multiple computational evidences; putative 5-methylcytosine restriction system, catalytic subunit
	[1265432:1266925:rev] Predicted arabinose efflux permease, MFS family
	[1267019:1267219:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1267367:1267864:rev] DNA-binding protein
	[1267819:1268121:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1268338:1271106:dir] ATP dependent helicase, Lhr family
	[1271173:1272237:rev] Acetylornithine deacetylase
	[1272377:1273093:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1273093:1273338:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1273339:1274313:rev] Fused rubrerythrin-like protein/uncharacterized domain-containing protein
	[1274388:1275146:dir] TatD-related deoxyribonuclease
	[1275156:1275458:dir] Methyltransferase
	[1275684:1289468:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
<END>
<GI> LR881183:9 <COORDINATES> 1601952-1624904 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.453885; n0_4mer:D = 36.259728; n0_4mer:PS = 34.717992
	[1601952:1603583:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1603580:1605913:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1605975:1607081:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1607224:1607796:rev] tbp; TATA-box-binding protein
	[1607996:1608418:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1608415:1608852:rev] Evidence 3 : Putative function from multiple computational evidences; Putative PIN domain protein (modular protein)
	[1608837:1608974:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1609054:1610481:rev] McrBC 5-methylcytosine restriction system component
	[1610497:1612473:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1612451:1612906:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1612896:1613372:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1613377:1614306:rev] ADP-ribosylglycohydrolase
	[1614309:1614650:rev] Evidence 3 : Putative function from multiple computational evidences; Product type e : enzyme; putative enzyme
	[1614677:1616236:rev] MBL fold metallo-hydrolase
	[1616338:1616916:rev] Transcription factor
	[1616915:1617448:dir] N-acetyltransferase
	[1617466:1617759:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1617761:1618615:rev] Permeases of the drug/metabolite transporter (DMT) superfamily
	[1618679:1619083:rev] acaC; Protein AcaC
	[1619085:1620245:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1620256:1621308:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1621439:1622119:rev] flpA; Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase
	[1622125:1623396:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1623786:1624904:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
<END>
<GI> LR881183:10 <COORDINATES> 1812000-1834613 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.556424; n0_4mer:D = 34.770185; n0_4mer:PS = 39.139968
	[1812043:1812966:rev] Sugar kinase
	[1813044:1813637:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1813627:1813902:rev] acyP; Acylphosphatase
	[1813973:1814284:dir] cutA; Divalent-cation tolerance protein CutA
	[1814281:1814868:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1814960:1815796:rev] Universal stress protein
	[1815828:1817096:dir] gcvT; Evidence 3 : Putative function from multiple computational evidences; putative aminomethyltransferase
	[1817224:1818054:dir] Permease
	[1818095:1818172:dir] tRNA-Gly
	[1818194:1818793:rev] UbiE ubiquinone/menaquinone biosynthesis methyltransferase
	[1818892:1819527:dir] Rps3 or RNA methylase involved in ribosome biogenesis, SPOUT family
	[1819736:1820104:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[1820109:1821131:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1821228:1821590:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[1821618:1822661:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[1822658:1823683:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[1823780:1824142:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[1824139:1825185:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[1825182:1826771:dir] S-layer protein
	[1826776:1827546:dir] ABC-2 type transport system permease protein
	[1827543:1827980:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[1827977:1828639:dir] ABC-type multidrug transport system, ATPase component
	[1828636:1828932:rev] Predicted metal-binding protein
	[1828969:1829112:rev] Evidence 5 : Unknown function; protein of unknown function
	[1829084:1830013:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved exported protein of unknown function
	[1830016:1831722:rev] RNA-binding protein
	[1831732:1832634:rev] Phosphoserine phosphatase
	[1832773:1833618:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1833666:1834613:rev] cpkA; Carbamate kinase
<END>
<GI> LR881183:11 <COORDINATES> 1852236-1881073 <STAT> n1_4mer:GRV/n1_4mer:RV = 2.585278; n0_4mer:D = 45.820161; n0_4mer:PS = 31.997401
	[1852236:1855367:dir] MoaA-like intein containing molybdenum cofactor biosynthesis moaA homolog
	[1855372:1855683:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1855694:1857160:rev] Phosphate transport system substrate-binding protein
	[1857250:1857597:dir] Evidence 3 : Putative function from multiple computational evidences; putative effector of murein hydrolase
	[1857594:1858268:dir] yohK; Evidence 4 : Unknown function but conserved in other organisms; Product type m : membrane component; conserved hypothetical protein; putative inner membrane protein
	[1858233:1858673:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1858829:1858906:rev] tRNA-Tyr
	[1858977:1859555:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1859590:1859814:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1859861:1860418:dir] Fuculose phosphate aldolase
	[1860472:1860723:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1860839:1861366:rev] Cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase
	[1861471:1863453:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved membrane protein of unknown function
	[1863548:1867225:dir] Helicase domain protein
	[1867225:1871127:dir] Evidence 5 : Unknown function; protein of unknown function
	[1871143:1871760:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1871859:1872290:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1872381:1872749:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1873083:1873298:dir] Evidence 5 : Unknown function; protein of unknown function
	[1873277:1873353:rev] tRNA-His
	[1873496:1874122:dir] taw3; tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))- methyltransferase 2
	[1874206:1874955:rev] Lipoate--protein ligase
	[1875903:1876379:rev] Signal peptidase I
	[1876352:1876909:rev] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1876989:1878044:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1878054:1878989:dir] Microsomal dipeptidase
	[1879166:1880014:dir] Evidence 4 : Unknown function but conserved in other organisms; conserved protein of unknown function
	[1880009:1881073:rev] ATPase
<END>
