<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:1 <COORDINATES> 1-18065 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.861269; n0_4mer:D = 29.819852; n0_4mer:PS = 36.391109
	[9:743:dir] PFAM: 6-carboxyhexanoate--CoA ligase; KEGG: mmp:MMP1575 6-carboxyhexanoate--CoA ligase; 6-carboxyhexanoate-CoA ligase
	[10140:11039:rev] KEGG: mmp:MMP1560 N5-methyltetrahydromethanopterin: methyltransferase, subunit E; TIGRFAM: tetrahydromethanopterin S-methyltransferase, subunit E; PFAM: Tetrahydromethanopterin S-methyltransferase, subunit E; tetrahydromethanopterin S-methyltransferase, subunit E
	[11309:12970:rev] PFAM: methyl-coenzyme M reductase, alpha subunit domain protein; KEGG: mmp:MMP1559 methyl-coenzyme M reductase I, alpha subunit; methyl-coenzyme M reductase, alpha subunit
	[13011:13793:rev] PFAM: Methyl-coenzyme M reductase, gamma subunit; KEGG: mmp:MMP1558 methyl-coenzyme M reductase I, gamma subunit; methyl-coenzyme M reductase, gamma subunit
	[13803:14399:rev] PFAM: Methyl-coenzyme M reductase operon protein C; KEGG: mmp:MMP1557 methyl coenzyme M reductase I, protein C; Methyl-coenzyme M reductase operon protein C
	[14408:14887:rev] PFAM: Methyl-coenzyme M reductase, protein D; KEGG: mmp:MMP1556 methyl-coenzyme M reductase I, protein D; Methyl-coenzyme M reductase, protein D
	[14899:16230:rev] PFAM: Methyl-coenzyme M reductase, beta subunit; KEGG: mmp:MMP1555 methyl-coenzyme M reductase I, beta subunit; methyl-coenzyme M reductase, beta subunit
	[16490:17800:dir] PFAM: Radical SAM domain protein; protein of unknown function DUF512; KEGG: mmp:MMP1554 hypothetical protein; protein of unknown function DUF512
	[17793:18065:rev] hypothetical protein
<END>
<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:2 <COORDINATES> 130159-152280 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.722606; n0_4mer:D = 21.788146; n0_4mer:PS = 27.942328
	[130159:132720:rev] PFAM: Oligosaccharyl transferase, STT3 subunit; KEGG: mmp:MMP1424 oligosaccharyl transferase, STT3 subunit; Oligosaccharyl transferase, STT3 subunit
	[132819:133718:dir] PFAM: glycosyl transferase, family 4; KEGG: mmp:MMP1423 putative glycosyl transferase, family 4:aldehyde dehydrogenase; glycosyl transferase, family 4
	[133747:135075:rev] TIGRFAM: preprotein translocase, SecY subunit; PFAM: SecY protein; KEGG: mmp:MMP1422 aldehyde dehydrogenase:SecY protein; protein translocase subunit secY/sec61 alpha
	[135303:135734:rev] PFAM: ribosomal protein L15; KEGG: mmp:MMP1421 LSU ribosomal protein L15; LSU ribosomal protein L15P
	[135749:136213:rev] TIGRFAM: ribosomal protein L30P; PFAM: ribosomal protein L30; KEGG: mmp:MMP1420 LSU ribosomal protein L30P; LSU ribosomal protein L30P
	[136245:136934:rev] TIGRFAM: ribosomal protein S5; PFAM: ribosomal protein S5 domain protein; Ribosomal protein S5-like; KEGG: mmp:MMP1419 SSU ribosomal protein S5P; SSU ribosomal protein S5P
	[136945:137526:rev] PFAM: ribosomal protein L18P/L5E; KEGG: mmp:MMP1418 LSU ribosomal protein L18P; LSU ribosomal protein L18P
	[137550:137999:rev] PFAM: Ribosomal protein L19e; KEGG: mmp:MMP1417 LSU ribosomal protein L19E; LSU ribosomal protein L19E
	[138026:138433:rev] PFAM: Ribosomal protein L32e; KEGG: mmp:MMP1416 LSU ribosomal protein L32E; LSU ribosomal protein L32E
	[138443:138991:rev] PFAM: ribosomal protein L6; KEGG: mmp:MMP1415 LSU ribosomal protein L6P; LSU ribosomal protein L6P
	[139013:139405:rev] PFAM: ribosomal protein S8; KEGG: mmp:MMP1414 SSU ribosomal protein S8P; SSU ribosomal protein S8P
	[139424:139585:rev] PFAM: ribosomal protein S14; KEGG: mmp:MMP1413 SSU ribosomal protein S14P; SSU ribosomal protein S14P
	[139595:140140:rev] PFAM: ribosomal protein L5; KEGG: mmp:MMP1412 LSU ribosomal protein L5P; LSU ribosomal protein L5P
	[140169:140903:rev] PFAM: RNA-binding S4 domain protein; Ribosomal protein S4E-like; Ribosomal protein S4E, central; KEGG: mmp:MMP1411 SSU ribosomal protein S4E; SSU ribosomal protein S4E
	[140915:141274:rev] KEGG: mmp:MMP1410 LSU ribosomal protein L24P; TIGRFAM: ribosomal protein L24; PFAM: KOW domain protein; SMART: KOW (Kyrpides, Ouzounis, Woese) domain protein; LSU ribosomal protein L24P
	[141294:141692:rev] PFAM: ribosomal protein L14b/L23e; KEGG: mmp:MMP1409 LSU ribosomal protein L14P; LSU ribosomal protein L14P
	[141713:142042:rev] PFAM: ribosomal protein S17; KEGG: mmp:MMP1408 SSU ribosomal protein S17P; SSU ribosomal protein S17P
	[142207:142506:rev] PFAM: Ribonuclease P, Rpp29; KEGG: mmp:MMP1407 protein of unknown function UPF0086; ribonuclease P protein subunit Rpp29
	[142574:142882:rev] PFAM: translation initiation factor SUI1; KEGG: mmp:MMP1406 protein translation factor SUI1 homolog; translation initiation factor 1 (eIF-1/SUI1)
	[142966:143181:rev] PFAM: ribosomal protein L29; KEGG: mmp:MMP1405 LSU ribosomal protein L29P; LSU ribosomal protein L29P
	[143192:143827:rev] KEGG: mmp:MMP1404 SSU ribosomal protein S3P; TIGRFAM: ribosomal protein S3; PFAM: ribosomal protein S3-C-terminal domain protein; KH, type 2 domain protein; SMART: KH domain protein; SSU ribosomal protein S3P
	[143838:144299:rev] TIGRFAM: ribosomal protein L22; PFAM: ribosomal protein L22/L17; KEGG: mmp:MMP1403 LSU ribosomal protein L22P; LSU ribosomal protein L22P
	[144319:144528:rev] KEGG: mmp:MMP1402 hypothetical protein; conserved hypothetical protein
	[144620:144889:rev] TIGRFAM: translation elongation factor aEF-1 beta; PFAM: Elongation factor 1, beta/beta'/delta chain; KEGG: mmp:MMP1401 translation elongation factor aEF-1 beta; translation elongation factor 1B (aEF-1B)
	[144922:145086:rev] PFAM: Protein of unknown function DUF1610; KEGG: mmp:MMP1400 hypothetical protein; Protein of unknown function DUF1610
	[145104:145742:rev] PFAM: aspartate/glutamate/uridylate kinase; KEGG: mmp:MMP1399 aspartate/glutamate/uridylate kinase; aspartate/glutamate/uridylate kinase
	[145743:146990:rev] TIGRFAM: acetylornithine deacetylase or succinyl-diaminopimelate desuccinylase; PFAM: peptidase M20; peptidase dimerisation domain protein; KEGG: mmp:MMP1398 succinyl-diaminopimelate desuccinylase; acetylornithine deacetylase or succinyl-diaminopimelate desuccinylase
	[147020:150589:rev] TIGRFAM: chromosome segregation protein SMC; PFAM: SMC domain protein; SMCs flexible hinge domain protein; KEGG: mmp:MMP1397 structural maintenance of chromosome protein; condensin subunit Smc
	[150976:152280:dir] PFAM: aminotransferase, class I and II; KEGG: mmp:MMP1396 aminotransferase (subgroup I); aminotransferase
<END>
<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:3 <COORDINATES> 169500-196599 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.939761; n0_4mer:D = 23.883060; n0_4mer:PS = 38.959678
	[169575:170642:rev] KEGG: mmp:MMP1377 hypothetical protein; conserved hypothetical protein
	[170675:170935:rev] PFAM: PspC domain protein; KEGG: mmp:MMP1376 hypothetical protein; phage shock protein C, PspC
	[171026:171898:rev] KEGG: mmp:MMP1375 SAM (and some other nucleotide) binding motif; tRNA (adenine-57, 58-N(1)-) methyltransferase
	[171898:172617:rev] KEGG: mmp:MMP1374 ribonuclease HII; TIGRFAM: ribonuclease HII; PFAM: ribonuclease HII/HIII; RNase HII
	[172735:173820:dir] PFAM: Protein of unknown function DUF1297; Protein of unknown function DUF1246; KEGG: mmp:MMP1373 hypothetical protein; Protein of unknown function DUF1297
	[173888:175201:rev] PFAM: phosphoglucomutase/phosphomannomutase C terminal; phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I; phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain II; phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain III; KEGG: mmp:MMP1372 phosphoglucomutase/phosphomannomutase; phosphomannomutase
	[175486:175794:rev] PFAM: ribosomal protein S10; KEGG: mmp:MMP1371 SSU ribosomal protein S10; SSU ribosomal protein S10P
	[175844:177130:rev] KEGG: mmp:MMP1370 translation elongation factor EF-1, subunit alpha; TIGRFAM: translation elongation factor EF-1, subunit alpha; PFAM: protein synthesis factor, GTP-binding; elongation factor Tu domain protein domain protein; elongation factor Tu, domain 2 protein; translation elongation factor 1A (EF-1A/EF-Tu)
	[177215:179398:rev] TIGRFAM: translation elongation factor aEF-2; small GTP-binding protein; PFAM: elongation factor G domain protein; protein synthesis factor, GTP-binding; elongation factor Tu, domain 2 protein; elongation factor G, domain IV; KEGG: mmp:MMP1369 translation elongation factor EF-2; translation elongation factor 2 (EF-2/EF-G)
	[179502:180068:rev] PFAM: ribosomal protein S7; KEGG: mmp:MMP1368 SSU ribosomal protein S7P; SSU ribosomal protein S7P
	[180102:180545:rev] TIGRFAM: ribosomal protein S23 (S12); PFAM: ribosomal protein S12/S23; KEGG: mmp:MMP1367 SSU ribosomal protein S12; SSU ribosomal protein S12P
	[180555:181076:rev] KEGG: mmp:MMP1366 KH domain:KH domain, type 1; TIGRFAM: NusA family KH domain protein; PFAM: KH, type 2 domain protein; KH, type 1, domain protein; SMART: KH domain protein; NusA family KH domain protein
	[181093:181413:rev] PFAM: ribosomal protein L7Ae/L30e/S12e/Gadd45; KEGG: mmp:MMP1365 ribosomal protein L30E; LSU ribosomal protein L30E
	[181610:182770:rev] KEGG: mmp:MMP1364 RNA polymerase, A/beta'/A' subunit; TIGRFAM: DNA-directed RNA polymerase, subunit A''; PFAM: RNA polymerase Rpb1, domain 5; DNA-directed RNA polymerase, subunit A' '
	[182815:185484:rev] KEGG: mmp:MMP1363 RNA polymerase, alpha subunit; TIGRFAM: DNA-directed RNA polymerase subunit A'; PFAM: RNA polymerase, alpha subunit; RNA polymerase Rpb1, domain 3; RNA polymerase Rpb1, domain 1; RNA polymerase Rpb1, domain 4; SMART: RNA polymerase I subunit A domain protein; DNA-directed RNA polymerase, subunit A'
	[185535:187370:rev] PFAM: RNA polymerase Rpb2, domain 6; RNA polymerase Rpb2, domain 7; RNA polymerase Rpb2, domain 4; RNA polymerase Rpb2, domain 5; KEGG: mmp:MMP1362 glycoside hydrolase, family 1:DNA-directed RNA polymerase, beta subunit:ATP/GTP-binding site motif A (P-loop); DNA-directed RNA polymerase, subunit B'
	[187414:188913:rev] PFAM: RNA polymerase Rpb2, domain 2; RNA polymerase beta subunit; RNA polymerase Rpb2, domain 3; KEGG: mmp:MMP1361 DNA-directed RNA polymerase subunit B; DNA-directed RNA polymerase, subunit B'
	[188994:189230:rev] PFAM: RNA polymerase subunit, RPB5; KEGG: mmp:MMP1360 RNA polymerase H/23 kD subunit; DNA-directed RNA polymerase, subunit H
	[189483:191024:dir] PFAM: CBS domain containing protein; protein of unknown function DUF39; KEGG: mmp:MMP1359 hypothetical protein; protein of unknown function DUF39
	[191038:191436:dir] PFAM: 4Fe-4S ferredoxin, iron-sulfur binding domain protein; KEGG: mmp:MMP1358 ferredoxin; 4Fe-4S ferredoxin, iron-sulfur binding domain protein
	[191485:191739:dir] PFAM: thiamineS protein; KEGG: mmp:MMP1357 thiamineS; thiamineS protein
	[191754:192689:dir] PFAM: PP-loop domain protein; KEGG: mmp:MMP1356 hypothetical protein; PP-loop domain protein
	[192708:193388:rev] PFAM: transferase hexapeptide repeat containing protein; KEGG: mmp:MMP1355 bacterial transferase hexapeptide repeat; transferase hexapeptide repeat containing protein
	[193403:194554:rev] TIGRFAM: thiamine biosynthesis/tRNA modification protein ThiI; PFAM: thiamine biosynthesis protein; THUMP domain protein; ExsB family protein; KEGG: mmp:MMP1354 thiamine biosynthesis protein:THUMP domain; thiamine biosynthesis/tRNA modification protein ThiI
	[194688:195662:dir] PFAM: PP-loop domain protein; KEGG: mmp:MMP1353 hypothetical protein; PP-loop domain protein
	[195764:196549:dir] TIGRFAM: thiazole biosynthesis enzyme; PFAM: thiamine biosynthesis Thi4 protein; FAD dependent oxidoreductase; KEGG: mmp:MMP1352 NAD binding site:TonB-dependent receptor protein:thiamine biosynthesis Thi4 protein; thiazole-adenylate synthase
<END>
<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:4 <COORDINATES> 330628-373384 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.450696; n0_4mer:D = 21.790321; n0_4mer:PS = 31.160636
	[330628:332637:dir] SMART: DEXDc2; helicase c2; DEAD-like helicases-like; KEGG: mmp:MMP1219 putative DinG ATP-dependent helicase; DNA repair helicase RAD3
	[332726:333973:dir] PFAM: LOR/SDH bifunctional enzyme conserved domain protein; KEGG: mmp:MMP1218 hypothetical protein; LOR/SDH bifunctional enzyme conserved domain protein
	[333991:334650:dir] KEGG: mmp:MMP1217 hypothetical protein; conserved hypothetical protein
	[334684:335799:dir] TIGRFAM: histidinol-phosphate aminotransferase; PFAM: aminotransferase, class V; aminotransferase, class I and II; KEGG: mmp:MMP1216 histidinol-phosphate aminotransferase; histidinol phosphate aminotransferase apoenzyme
	[335935:337413:dir] TIGRFAM: cobyric acid synthase CobQ; PFAM: Cobyrinic acid a,c-diamide synthase; CobB/CobQ domain protein glutamine amidotransferase; KEGG: mmp:MMP1215 cobyrinic acid a,c-diamide synthase:cobyric acid synthase CobQ; adenosylcobyric acid synthase (glutamine-hydrolysing)
	[337506:338180:dir] KEGG: mmp:MMP1214 hypothetical protein; conserved hypothetical protein
	[338195:338587:rev] PFAM: protein of unknown function DUF35; KEGG: mmp:MMP1213 hypothetical protein; protein of unknown function DUF35
	[338622:339800:rev] PFAM: Thiolase; KEGG: mmp:MMP1212 acetyl-CoA acyltransferase; Thiolase
	[339819:340868:rev] TIGRFAM: putative hydroxymethylglutaryl-CoA synthase; PFAM: Hydroxymethylglutaryl-coenzyme A synthase, N-terminal domain; 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal domain protein; KEGG: mmp:MMP1211 3-oxoacyl-[acyl-carrier-protein] synthase III; putative hydroxymethylglutaryl-CoA synthase
	[340930:341619:rev] SMART: helix-turn-helix domain protein; KEGG: mmp:MMP1210 putative transcriptional regulator; helix-turn-helix domain protein
	[341750:342814:rev] KEGG: mmp:MMP1209 hypothetical protein; conserved hypothetical protein
	[342851:344083:rev] PFAM: protein synthesis factor, GTP-binding; elongation factor Tu, domain 2 protein; KEGG: mmp:MMP1208 translation initiation factor aIF-2, subunit gamma; translation initiation factor 2 subunit gamma (aeIF-2g)
	[344245:344619:rev] PFAM: ribosomal protein S6e; KEGG: mmp:MMP1207 ribosomal protein S6e; SSU ribosomal protein S6E
	[344828:346168:rev] KEGG: mmp:MMP1206 glutamine synthetase; TIGRFAM: glutamine synthetase, type I; PFAM: glutamine synthetase, catalytic region; glutamine synthetase, beta-Grasp; L-glutamine synthetase
	[346337:347626:dir] TIGRFAM: 3-phosphoshikimate 1-carboxyvinyltransferase; PFAM: EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase); KEGG: mmp:MMP1205 3-phosphoshikimate 1-carboxyvinyltransferase; 3-phosphoshikimate 1-carboxyvinyltransferase
	[347692:348711:dir] PFAM: peptidase M24; KEGG: mmp:MMP1204 metallopeptidase family M24:Xaa-Pro dipeptidase/Xaa-Pro aminopeptidase; peptidase M24
	[348752:349849:dir] TIGRFAM: cobalamin biosynthesis protein CbiD; PFAM: cobalamin (vitamin B12) biosynthesis CbiD protein; KEGG: mmp:MMP1203 cobalamin (vitamin B12) biosynthesis CbiD protein; cobalamin biosynthesis protein CbiD
	[349862:350245:dir] PFAM: protein of unknown function UPF0066; KEGG: mmp:MMP1202 hypothetical protein; protein of unknown function UPF0066
	[350253:350804:dir] PFAM: nuclease (SNase domain protein); KEGG: mmp:MMP1201 Staphylococcus nuclease (SNase-like):thermonuclease; nuclease (SNase domain protein)
	[351054:352364:rev] TIGRFAM: diaminopimelate decarboxylase; PFAM: Orn/DAP/Arg decarboxylase 2; KEGG: mmp:MMP1200 diaminopimelate decarboxylase; diaminopimelate decarboxylase
	[352518:353372:rev] PFAM: PhoU family protein; KEGG: mmp:MMP1199 phosphate transport system regulatory protein-related; phosphate uptake regulator, PhoU
	[353478:354242:rev] PFAM: ABC transporter related; SMART: AAA ATPase; KEGG: mmp:MMP1198 nitrate/sulfonate/bicarbonate ABC transporter ATPase subunit; ABC transporter related protein
	[354277:355038:rev] PFAM: binding-protein-dependent transport systems inner membrane component; KEGG: mmp:MMP1197 transport permease protein; binding-protein-dependent transport systems inner membrane component
	[355215:355763:rev] KEGG: mmp:MMP1196 hypothetical protein; conserved hypothetical protein
	[355841:356178:rev] 
	[356322:358376:rev] PFAM: Collagen triple helix repeat; KEGG: mmp:MMP1194 collagen triple helix repeat:surface protein from Gram-positive cocci, anchor region; Collagen triple helix repeat
	[358435:362949:rev] KEGG: mmp:MMP1193 hypothetical protein; conserved hypothetical protein
	[363586:364701:rev] PFAM: Radical SAM domain protein; SMART: Elongator protein 3/MiaB/NifB; KEGG: mmp:MMP1192 hypothetical protein; Radical SAM domain protein
	[364810:365781:rev] PFAM: Methenyltetrahydromethanopterin cyclohydrolase; KEGG: mmp:MMP1191 N(5),N(10)-methenyltetrahydromethanopterin cyclohydrolase; methenyltetrahydromethanopterin cyclohydrolase
	[365972:366424:dir] PFAM: peptidylprolyl isomerase, FKBP-type; KEGG: mmp:MMP1190 peptidylprolyl isomerase, FKBP-type; peptidylprolyl isomerase, FKBP-type
	[366500:367219:dir] KEGG: mmp:MMP1189 ribose 5-phosphate isomerase; TIGRFAM: ribose 5-phosphate isomerase; PFAM: Ribose 5-phosphate isomerase; ribose-5-phosphate isomerase
	[367365:367640:dir] PFAM: Protein of unknown function UPF0147; KEGG: mmp:MMP1188 hypothetical protein; Protein of unknown function UPF0147
	[367699:368244:rev] PFAM: class II aldolase/adducin family protein; KEGG: mmp:MMP1187 class II aldolase/adducin, N-terminal; class II aldolase/adducin family protein
	[368284:370362:rev] TIGRFAM: peptidase S16, Lon-like protease; PFAM: peptidase S16, lon domain protein; KEGG: mmp:MMP1186 eukaryotic thiol (cysteine) protease, active site:ATP/GTP-binding site motif A (P-loop):sigma-54 factor interaction domain; Lon-B peptidase, Serine peptidase, MEROPS family S16
	[370376:370915:rev] TIGRFAM: hydrogenase maturation protease; hydrogenase maturation protease HycI; PFAM: peptidase M52, hydrogen uptake protein; KEGG: mmp:MMP1185 hydrogen uptake protein:hydrogenase maturation protease HycI; Hydrogenase 3 maturation peptidase Hycl, Aspartic peptidase, MEROPS family A31
	[371031:371558:dir] PFAM: GCN5-related N-acetyltransferase; KEGG: mmp:MMP1184 N-acetyltransferase related protein; [SSU ribosomal protein S18P]-alanine acetyltransferase
	[371559:372341:rev] PFAM: ABC transporter related; SMART: AAA ATPase; KEGG: mmp:MMP1183 iron ABC transporter ATPase subunit; ABC transporter related protein
	[372338:373384:rev] PFAM: transport system permease protein; KEGG: mmp:MMP1182 iron(III) dicitrate transport system permease protein; transport system permease protein
<END>
<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:5 <COORDINATES> 495538-517784 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.692035; n0_4mer:D = 25.824568; n0_4mer:PS = 33.259989
	[495538:496419:dir] PFAM: protein of unknown function DUF224, cysteine-rich region domain protein; KEGG: mmp:MMP1053 heterodisulfide reductase; subunit B2; CoB--CoM heterodisulfide reductase subunit B
	[496466:497275:rev] PFAM: Helix-turn-helix, type 11 domain protein; SMART: regulatory protein, Crp; KEGG: mmp:MMP1052 putative transcriptional regulator; Helix-turn-helix, type 11 domain protein
	[497707:498501:dir] KEGG: mmp:MMP1051 survival protein SurE; TIGRFAM: stationary-phase survival protein SurE; PFAM: Survival protein SurE; 3'-nucleotidase
	[498643:499224:dir] PFAM: protein of unknown function DUF88; KEGG: mmp:MMP1050 hypothetical protein; protein of unknown function DUF88
	[499267:499536:rev] PFAM: multiple resistance and pH regulation protein F; KEGG: mmp:MMP1049 related to EhbB of Methanothermobacter thermautotrophicus; membrane-bound hydrogenase subunit ehbB
	[499734:500123:rev] PFAM: Protein of unknown function DUF61; KEGG: mmp:MMP1048 hypothetical protein; Protein of unknown function DUF61
	[500180:500545:rev] PFAM: Protein of unknown function DUF22; KEGG: mmp:MMP1047 hypothetical protein; Protein of unknown function DUF22
	[500567:501202:rev] TIGRFAM: V-type ATPase, D subunit; PFAM: H+-transporting two-sector ATPase, D subunit; KEGG: mmp:MMP1046 A1A0 ATPase, subunit D; V-type ATPase, D subunit
	[501249:502637:rev] PFAM: H+-transporting two-sector ATPase, alpha/beta subunit, central region; H+-transporting two-sector ATPase, alpha/beta subunit domain protein; KEGG: mmp:MMP1045 A1A0 ATPase, subunit B; Sodium-transporting two-sector ATPase
	[502672:504432:rev] KEGG: mmp:MMP1044 A1A0 ATPase, subunit A; TIGRFAM: ATP synthase, A subunit; PFAM: H+-transporting two-sector ATPase, alpha/beta subunit, central region; H+-transporting two-sector ATPase, alpha/beta subunit domain protein; ATP synthase, A subunit
	[504448:504747:rev] PFAM: Vacuolar H+-transporting two-sector ATPase, F subunit; KEGG: mmp:MMP1043 A1A0 ATPase, subunit F; Vacuolar H+-transporting two-sector ATPase, F subunit
	[504769:505944:rev] PFAM: H+-transporting two-sector ATPase, C (AC39) subunit; KEGG: mmp:MMP1042 A1A0 ATPase, subunit C; H+-transporting two-sector ATPase, C (AC39) subunit
	[505955:506566:rev] PFAM: H+-transporting two-sector ATPase, E subunit; KEGG: mmp:MMP1041 A1A0 ATPase, subunit IE; H+-transporting two-sector ATPase, E subunit
	[506628:507296:rev] PFAM: H+-transporting two-sector ATPase, C subunit; KEGG: mmp:MMP1040 A1A0 ATPase, subunit K; H+-transporting two-sector ATPase, C subunit
	[507352:509421:rev] PFAM: V-type ATPase, 116 kDa subunit; KEGG: mmp:MMP1039 A1A0 ATPase, subunit I; V-type ATPase, 116 kDa subunit
	[509446:509754:rev] KEGG: mmp:MMP1038 A1A0 ATPase, subunit H; A1A0 ATPase, subunit H
	[510246:510725:rev] PFAM: protein of unknown function DUF163; KEGG: mmp:MMP1037 hypothetical protein; protein of unknown function DUF163
	[510805:511611:rev] PFAM: band 7 protein; KEGG: mmp:MMP1036 band 7 protein:stomatin; SPFH domain, Band 7 family protein
	[511661:512074:rev] PFAM: protein of unknown function DUF107; KEGG: mmp:MMP1035 hypothetical protein; protein of unknown function DUF107
	[512148:512747:rev] PFAM: thymidylate kinase; KEGG: mmp:MMP1034 thymidylate kinase; dTMP kinase
	[512771:515701:rev] KEGG: mmp:MMP1033 hypothetical protein; conserved hypothetical protein
	[515856:517784:dir] PFAM: nucleic acid binding, OB-fold, tRNA/helicase-type; KEGG: mmp:MMP1032 replication protein A; nucleic acid binding, OB-fold, tRNA/helicase-type
<END>
<GI> CP000609 AAWI01000000 AAWI01000001 AAWI01000002 AAWI01000003:6 <COORDINATES> 620312-640475 <STAT> n1_4mer:GRV/n1_4mer:RV = 1.533635; n0_4mer:D = 24.090570; n0_4mer:PS = 25.633743
	[620312:621160:rev] PFAM: coenzyme F420 hydrogenase/dehydrogenase beta subunit domain protein; KEGG: mmp:MMP0817 coenzyme F420-reducing hydrogenase beta subunit; coenzyme F420-reducing hydrogenase, beta subunit
	[621182:621910:rev] PFAM: 4Fe-4S ferredoxin, iron-sulfur binding domain protein; NADH ubiquinone oxidoreductase, 20 kDa subunit; KEGG: mmp:MMP0818 coenzyme F420-reducing hydrogenase subunit gamma; coenzyme F420-reducing hydrogenase, gamma subunit
	[621921:622421:rev] TIGRFAM: hydrogenase maturation protease; coenzyme F420-reducing hydrogenase delta subunit; hydrogenase maturation peptidase superfamily; PFAM: peptidase M52, hydrogen uptake protein; KEGG: mmp:MMP0819 coenzyme F420-reducing hydrogenase subunit delta; coenzyme F420-reducing hydrogenase delta subunit
	[622432:623664:rev] PFAM: nickel-dependent hydrogenase, large subunit; KEGG: mmp:MMP0820 coenzyme F420-reducing hydrogenase subunit alpha; coenzyme F420-reducing hydrogenase, alpha subunit
	[624022:624444:dir] PFAM: methyl-viologen-reducing hydrogenase, delta subunit; KEGG: mmp:MMP0821 coenzyme F420-non-reducing hydrogenase subunit delta; F420-non-reducing hydrogenase subunit D
